Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2019-01-01 01:39:06,BRST,Balancetransfer,Balancetransfer,,,,,BRL,923.55,,,,,,,,,,65,,,,,,,,Balancetransfer from batch 61
TurbiBR,TurbiBRCOM,4515439292919843,114978 | 8522643 | 126500 | 57 | FXD8307,visa,2018-12-04 14:17:54,BRST,SettledInstallment,4815439402208191,BRL,,32.35,1,BRL,,31.46,0.89,,,,,,,visapremiumcredit,65,,,,,,,,Capture Request bookingId 114978
TurbiBR,TurbiBRCOM,1615439270429745,114976 | 8506528 | 126498 | 29 | GKH1148,visa,2018-12-04 13:13:11,BRST,SettledInstallment,4815439363219781,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visastandardcredit,65,,,,,,,,Capture Request bookingId 114976
TurbiBR,TurbiBRCOM,1615439232064739,114975 | 8510138 | 126497 | 24 | FPI7484,visa,2018-12-04 15:03:44,BRST,SettledInstallment,4815439429211517,BRL,,103.87,1,BRL,,101.01,2.86,,,,,,,visapremiumcredit,65,,,,,,,,Capture Request bookingId 114975
TurbiBR,TurbiBRCOM,1315439398605682,114990 | 8525062 | 126512 | 45 | GHS1618,visa,2018-12-04 18:42:50,BRST,SettledInstallment,1815439561213921,BRL,,40.54,1,BRL,,39.43,1.11,,,,,,,visapremiumcredit,65,,,,,,,,Capture Request bookingId 114990
TurbiBR,TurbiBRCOM,4635439209336565,114971 | 8526390 | 126493 | 43 | GCK0375,visa,2018-12-04 12:22:59,BRST,SettledInstallment,1535439333217118,BRL,,41.08,1,BRL,,39.95,1.13,,,,,,,visapremiumcredit,65,,,,,,,,Capture Request bookingId 114971
TurbiBR,TurbiBRCOM,1745439279201346,114977 | 8504011 | 126499 | 42 | GCE5762,visa,2018-12-04 16:43:00,BRST,SettledInstallment,1545439489211020,BRL,,54.49,1,BRL,,52.99,1.50,,,,,,,visapremiumcredit,65,,,,,,,,Capture Request bookingId 114977
TurbiBR,TurbiBRCOM,4525439377712046,114987 | 8496550 | 126509 | 62 | GJR9212,visa,2018-12-04 18:57:54,BRST,SettledInstallment,4325439570208638,BRL,,66.39,1,BRL,,64.56,1.83,,,,,,,visasuperpremiumcredit,65,,,,,,,,Capture Request bookingId 114987
TurbiBR,TurbiBRCOM,1315440108913085,115037 | 8523218 | 126559 | 60 | GJQ7911,visa,2018-12-05 19:37:56,BRST,SettledInstallment,1315440458225296,BRL,,98.90,1,BRL,,96.18,2.72,,,,,,,visasuperpremiumcredit,65,,,,,,,,Capture Request bookingId 115037
TurbiBR,TurbiBRCOM,4315437617151391,114891 | 8498733 | 126413 | 19 | FJG9824,visa,2018-12-12 15:32:57,BRST,RefundedInstallment,4715446359289604,BRL,50.00,,1,BRL,50.00,,,,,,,,,visapremiumcredit,65,,,,,,,,Refund Request bookingId 114891
TurbiBR,TurbiBRCOM,4815438283187524,114928 | 8525062 | 126450 | 45 | GHS1618,visa,2018-12-18 13:40:47,BRST,RefundedInstallment,4315451475891428,BRL,30.00,,1,BRL,30.00,,,,,,,,,visapremiumcredit,65,,,,,,,,Refund Request bookingId 114928
TurbiBR,TurbiBRCOM,1315436851707187,114813 | 8611 | 126335 | 64 | GGW0873,visa,2018-12-18 13:35:42,BRST,RefundedInstallment,1715451472790732,BRL,153.80,,1,BRL,153.80,,,,,,,,,visastandardcredit,65,,,,,,,,Refund Request bookingId 114813
TurbiBR,TurbiBRCOM,1345439526228377,115002 | 8500340 | 126524 | 43 | GCK0375,visa,2018-12-05 18:32:59,BRST,SettledInstallment,1845440419215658,BRL,,241.75,1,BRL,,0.00,6.65,,,,,0000022408,40518120502802313401,visapremiumcredit,65,,,,,,,,Capture Request bookingId 115002
TurbiBR,TurbiBRCOM,4745440273158171,115055 | 8504972 | 126577 | 38 | GDT7856,visa,2018-12-05 17:22:59,BRST,SettledInstallment,1745440377208605,BRL,,33.35,1,BRL,,0.00,0.92,,,,,0000022408,40518120502802313401,visacommercialpremiumcredit,65,,,,,,,,Capture Request bookingId 115055
