Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2018-12-28 02:52:44,BRST,Balancetransfer,Balancetransfer,,,,,BRL,1928.88,,,,,,,,,,60,,,,,,,,Balancetransfer from batch 56
TurbiBR,TurbiBRCOM,4635434178097801,114575 | 8496847 | 126098 | 5 | FSN3833,mc,2018-11-30 13:15:44,BRST,RefundedInstallment,1635435901234807,BRL,185.01,,1,BRL,185.01,,,,,,,,,mccredit,60,,,,,,,,Refund Request bookingId 114575
TurbiBR,TurbiBRCOM,4535435299571476,114657 | 8497815 | 126177 | 24 | FPI7484,mc,2018-11-29 23:06:49,BRST,SettledInstallment,1635435399606052,BRL,,57.08,1,BRL,,0.00,1.57,,,,,0000022051,30618113002803829101,mccredit,60,,,,,,,,Capture Request bookingId 114657
TurbiBR,TurbiBRCOM,4835435778044232,114677 | 8853 | 126197 | 25 | GJA7687,mc,2018-11-30 14:57:03,BRST,SettledInstallment,4335435969614764,BRL,,162.92,1,BRL,,0.00,4.48,,,,,0000022051,30618113002803829301,mccredit,60,,,,,,,,Capture Request bookingId 114677
TurbiBR,TurbiBRCOM,1335435893841224,114685 | 8523875 | 126207 | 71 | GEJ2081,mc,2018-11-30 16:21:50,BRST,RefundedInstallment,4835436020590352,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,60,,,,,,,,Refund Request bookingId 114685
TurbiBR,TurbiBRCOM,4535436042078579,114701 | 8510033 | 126223 | 22 | FWL2173,mc,2018-11-30 17:31:53,BRST,SettledInstallment,4735436062613535,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000022051,30618113002803829401,mccredit,60,,,,,,,,Capture Request bookingId 114701
TurbiBR,TurbiBRCOM,1335435978104258,114691 | 8523481 | 126213 | 23 | FLQ7676,mc,2018-11-30 19:26:49,BRST,SettledInstallment,4635436131602262,BRL,,67.04,1,BRL,,0.00,1.84,,,,,0000022051,30618113002803829401,mccredit,60,,,,,,,,Capture Request bookingId 114691
TurbiBR,TurbiBRCOM,4535435914683987,114687 | 8509039 | 126209 | 51 | FQH5224,mc,2018-11-30 18:56:54,BRST,SettledInstallment,1835436113614883,BRL,,48.98,1,BRL,,0.00,1.35,,,,,0000022051,30618113002803829401,mccredit,60,,,,,,,,Capture Request bookingId 114687
TurbiBR,TurbiBRCOM,1735435329465883,114662 | 8503217 | 126182 | 57 | FXD8307,mc,2018-11-30 00:51:45,BRST,SettledInstallment,4335435462601524,BRL,,36.30,1,BRL,,0.00,1.00,,,,,0000022051,30618113002803829101,mccredit,60,,,,,,,,Capture Request bookingId 114662
TurbiBR,TurbiBRCOM,1335435893841224,114685 | 8523875 | 126207 | 71 | GEJ2081,mc,2018-11-30 13:11:25,BRST,SettledInstallment,4535435897616509,BRL,,30.00,1,BRL,,0.00,0.82,,,,,0000022051,30618113002803829301,mccredit,60,,,,,,,,Capture Request bookingId 114685
TurbiBR,TurbiBRCOM,4745435064691265,114641 | 8506517 | 126161 | 38 | GDT7856,mc,2018-11-29 23:56:52,BRST,SettledInstallment,1645435429607136,BRL,,131.50,1,BRL,,127.88,3.62,,,,,,,mccredit,60,,,,,,,,Capture Request bookingId 114641
TurbiBR,TurbiBRCOM,1545434853779694,114618 | 8506144 | 126138 | 8 | GCE1566,mc,2018-11-29 23:01:44,BRST,SettledInstallment,1845435396600542,BRL,,959.20,1,BRL,,932.82,26.38,,,,,,,mccredit,60,,,,,,,,Capture Request bookingId 114618
TurbiBR,TurbiBRCOM,1845435201952765,114649 | 8508063 | 126169 | 28 | GKE6583,mc,2018-11-29 21:46:53,BRST,SettledInstallment,4745435351618211,BRL,,40.91,1,BRL,,39.79,1.12,,,,,,,mccredit,60,,,,,,,,Capture Request bookingId 114649
TurbiBR,TurbiBRCOM,4545435852523672,114682 | 8523390 | 126202 | 56 | GCB5654,mc,2018-11-30 12:11:59,BRST,SettledInstallment,4845435870600236,BRL,,7.50,1,BRL,,0.00,0.21,,,,,0000022051,40618113002803829301,mccredit,60,,,,,,,,Capture Request bookingId 114682
TurbiBR,TurbiBRCOM,1745435287484056,114652 | 8501813 | 126172 | 42 | GCE5762,mc,2018-11-30 01:16:44,BRST,SettledInstallment,1745435477619289,BRL,,52.34,1,BRL,,50.90,1.44,,,,,,,mccredit,60,,,,,,,,Capture Request bookingId 114652
