Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4535405058816495,Authorise Request bookingId 112071,mc,2018-10-25 19:18:48,BRT,SettledInstallment,4835405058821153,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112071
TurbiBR,TurbiBRCOM,4835405826813193,Authorise Request bookingId 112121,mc,2018-10-26 17:17:39,BRT,SettledInstallment,4635405826821032,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112121
TurbiBR,TurbiBRCOM,4635405775821934,Authorise Request bookingId 112120,mc,2018-10-26 16:02:27,BRT,SettledInstallment,4535405775831793,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112120
TurbiBR,TurbiBRCOM,4745405184818668,Authorise Request bookingId 112049,mc,2018-10-25 22:48:59,BRT,SettledInstallment,4845405184820663,BRL,,46.94,1,BRL,,45.65,1.29,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112049
TurbiBR,TurbiBRCOM,4615405826810823,Authorise Request bookingId 112109,mc,2018-10-26 16:38:43,BRT,SettledInstallment,4815405826823394,BRL,,373.15,1,BRL,,362.89,10.26,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112109
TurbiBR,TurbiBRCOM,4715405145819033,Authorise Request bookingId 112062,mc,2018-10-25 21:43:44,BRT,SettledInstallment,4315405145823757,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112062
TurbiBR,TurbiBRCOM,4815405610822180,Authorise Request bookingId 112110,mc,2018-10-26 10:38:56,BRT,SettledInstallment,4715405610837510,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112110
TurbiBR,TurbiBRCOM,1615405277813397,Authorise Request bookingId 112077,mc,2018-10-26 01:23:52,BRT,SettledInstallment,1715405277838518,BRL,,66.79,1,BRL,,64.95,1.84,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112077
TurbiBR,TurbiBRCOM,4715405502821432,Authorise Request bookingId 112076,mc,2018-10-26 07:38:46,BRT,SettledInstallment,4615405502824684,BRL,,109.48,1,BRL,,106.47,3.01,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112076
TurbiBR,TurbiBRCOM,1325405631825542,Authorise Request bookingId 112112,mc,2018-10-26 11:14:00,BRT,SettledInstallment,1825405631827295,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112112
TurbiBR,TurbiBRCOM,4325405232813057,Authorise Request bookingId 112093,mc,2018-10-26 00:08:51,BRT,SettledInstallment,4525405232829523,BRL,,15.00,1,BRL,,14.59,0.41,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112093
TurbiBR,TurbiBRCOM,4525405151271079,Authorise Request bookingId 112089,mc,2018-10-25 21:52:54,BRT,SettledInstallment,4325405151286871,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112089
TurbiBR,TurbiBRCOM,1725405079801878,Authorise Request bookingId 112002,mc,2018-10-25 19:53:47,BRT,SettledInstallment,1525405079814105,BRL,,42.22,1,BRL,,41.06,1.16,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112002
TurbiBR,TurbiBRCOM,4325405232813057,Authorise Request bookingId 112093,mc,2018-10-26 01:24:54,BRT,RefundedInstallment,1525405278505983,BRL,15.00,,1,BRL,15.00,,,,,,,,,mccredit,21,,,,,,,,Refund Request bookingId 112093
TurbiBR,TurbiBRCOM,1615406057816717,Authorise Request bookingId 112134,mc,2018-10-26 23:04:02,BRT,SettledInstallment,1315406057818849,BRL,,34.34,1,BRL,,33.40,0.94,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112134
TurbiBR,TurbiBRCOM,4635406405813739,Authorise Request bookingId 112130,mc,2018-10-27 08:43:49,BRT,SettledInstallment,4335406405834589,BRL,,72.93,1,BRL,,70.92,2.01,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112130
TurbiBR,TurbiBRCOM,4535405997812605,Authorise Request bookingId 112139,mc,2018-10-26 21:24:15,BRT,SettledInstallment,4735405997820747,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112139
TurbiBR,TurbiBRCOM,4535406534826702,Authorise Request bookingId 112164,mc,2018-10-27 12:18:56,BRT,SettledInstallment,4735406534832187,BRL,,56.84,1,BRL,,55.28,1.56,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112164
TurbiBR,TurbiBRCOM,4325405938872589,Authorise Request bookingId 112135,mc,2018-10-26 19:45:39,BRT,SettledInstallment,4325405938882745,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112135
TurbiBR,TurbiBRCOM,4525405937825941,Authorise Request bookingId 112123,mc,2018-10-26 19:43:52,BRT,SettledInstallment,4725405937837258,BRL,,30.49,1,BRL,,29.65,0.84,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112123
TurbiBR,TurbiBRCOM,1545406444819437,Authorise Request bookingId 112138,mc,2018-10-27 09:48:46,BRT,SettledInstallment,1345406444824249,BRL,,213.89,1,BRL,,208.01,5.88,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112138
TurbiBR,TurbiBRCOM,4345406072811421,Authorise Request bookingId 112116,mc,2018-10-26 23:28:44,BRT,SettledInstallment,4545406072824554,BRL,,195.07,1,BRL,,189.71,5.36,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112116
TurbiBR,TurbiBRCOM,1715406939807016,Authorise Request bookingId 112229,mc,2018-10-27 23:33:51,BRT,SettledInstallment,1315406939811012,BRL,,34.00,1,BRL,,33.06,0.94,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112229
TurbiBR,TurbiBRCOM,1315407320814789,Authorise Request bookingId 112262,mc,2018-10-28 10:08:49,BRT,SettledInstallment,1715407320811229,BRL,,27.00,1,BRL,,26.26,0.74,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112262
TurbiBR,TurbiBRCOM,4615407440916937,Authorise Request bookingId 112321,mc,2018-10-28 13:29:26,BRT,SettledInstallment,4715407440929038,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112321
TurbiBR,TurbiBRCOM,4315407497824474,Authorise Request bookingId 112301,mc,2018-10-28 15:03:53,BRT,SettledInstallment,4715407497825709,BRL,,39.54,1,BRL,,38.45,1.09,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112301
TurbiBR,TurbiBRCOM,1715408250812849,Authorise Request bookingId 112360,mc,2018-10-29 11:59:03,BRT,SettledInstallment,1715408250823127,BRL,,53.89,1,BRL,,52.41,1.48,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112360
TurbiBR,TurbiBRCOM,1515407701823316,Authorise Request bookingId 112349,mc,2018-10-28 20:43:44,BRT,SettledInstallment,1315407701835015,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112349
TurbiBR,TurbiBRCOM,1615408162718846,Authorise Request bookingId 112359,mc,2018-10-29 09:32:03,BRT,SettledInstallment,1515408162724969,BRL,,100.00,1,BRL,,97.25,2.75,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112359
TurbiBR,TurbiBRCOM,4625407380807011,Authorise Request bookingId 112274,mc,2018-10-28 11:48:53,BRT,SettledInstallment,4525407380837241,BRL,,41.22,1,BRL,,40.09,1.13,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112274
TurbiBR,TurbiBRCOM,1845407353820553,Authorise Request bookingId 112249,mc,2018-10-28 11:03:57,BRT,SettledInstallment,1745407353833755,BRL,,40.17,1,BRL,,39.07,1.10,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112249
TurbiBR,TurbiBRCOM,4745406882817481,Authorise Request bookingId 112214,mc,2018-10-27 21:58:48,BRT,SettledInstallment,4545406882815537,BRL,,72.65,1,BRL,,70.65,2.00,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112214
TurbiBR,TurbiBRCOM,1545407629814722,Authorise Request bookingId 112317,mc,2018-10-28 18:43:46,BRT,SettledInstallment,1645407629820298,BRL,,71.16,1,BRL,,69.20,1.96,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112317
TurbiBR,TurbiBRCOM,1845407674918433,Authorise Request bookingId 112245,mc,2018-10-28 19:58:52,BRT,SettledInstallment,1545407674926066,BRL,,509.35,1,BRL,,495.34,14.01,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112245
TurbiBR,TurbiBRCOM,1845406933822972,Authorise Request bookingId 112097,mc,2018-10-27 23:23:54,BRT,SettledInstallment,1745406933839738,BRL,,465.65,1,BRL,,452.84,12.81,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112097
TurbiBR,TurbiBRCOM,4845408358803382,Authorise Request bookingId 112382,mc,2018-10-29 14:58:54,BRT,SettledInstallment,4845408358813613,BRL,,21.00,1,BRL,,20.42,0.58,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112382
TurbiBR,TurbiBRCOM,4845408319822059,Authorise Request bookingId 112356,mc,2018-10-29 13:53:50,BRT,SettledInstallment,4745408319830152,BRL,,190.30,1,BRL,,185.07,5.23,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112356
TurbiBR,TurbiBRCOM,1345408364809754,Authorise Request bookingId 112383,mc,2018-10-29 15:09:13,BRT,SettledInstallment,1845408364814791,BRL,,21.00,1,BRL,,20.42,0.58,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112383
TurbiBR,TurbiBRCOM,4735407533823813,Authorise Request bookingId 112266,mc,2018-10-28 16:03:59,BRT,SettledInstallment,4735407533834133,BRL,,204.21,1,BRL,,198.59,5.62,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112266
TurbiBR,TurbiBRCOM,1325408520807233,Authorise Request bookingId 112389,mc,2018-10-29 19:28:49,BRT,SettledInstallment,1525408520811472,BRL,,107.75,1,BRL,,104.79,2.96,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112389
TurbiBR,TurbiBRCOM,4335408445816451,Authorise Request bookingId 112378,mc,2018-10-29 17:23:49,BRT,SettledInstallment,4535408445819768,BRL,,19.81,1,BRL,,19.27,0.54,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112378
TurbiBR,TurbiBRCOM,4535408439800188,Authorise Request bookingId 112390,mc,2018-10-29 17:13:59,BRT,SettledInstallment,4635408439813347,BRL,,21.00,1,BRL,,20.42,0.58,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112390
TurbiBR,TurbiBRCOM,1635408418810492,Authorise Request bookingId 112313,mc,2018-10-29 16:38:59,BRT,SettledInstallment,1335408418820056,BRL,,231.08,1,BRL,,224.73,6.35,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112313
TurbiBR,TurbiBRCOM,1635408082828911,Authorise Request bookingId 112353,mc,2018-10-29 07:18:55,BRT,SettledInstallment,1735408082830718,BRL,,96.10,1,BRL,,93.46,2.64,,,,,,,mccredit,21,,,,,,,,Capture Request  bookingId 112353
TurbiBR,TurbiBRCOM,,"Payout Date=2018-11-28, Bank=341, Branch=8886, Account=253338",,2018-11-27 04:52:46,BRST,MerchantPayout,"TX23406567532XT batch 21, TurbiBRCOM batch 21, TurbiBRCOM",,,,,BRL,3869.23,,,,,,,,,,21,,,,,,,,
