Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1815405211822395,Authorise Request bookingId 112067,visa,2018-10-25 23:33:48,BRT,SettledInstallment,1515405211826811,BRL,,56.96,1,BRL,,55.39,1.57,,,,,,,visasuperpremiumcredit,22,,,,,,,,Capture Request  bookingId 112067
TurbiBR,TurbiBRCOM,4325404722205742,Authorise Request bookingId 111964,visa,2018-11-06 12:12:03,BRST,RefundedInstallment,4825415134724984,BRL,141.68,,1,BRL,141.68,,,,,,,,,visastandardcredit,22,,,,,,,,Refund Request bookingId 111964
TurbiBR,TurbiBRCOM,1645407347818590,Authorise Request bookingId 112145,visa,2018-10-28 10:53:50,BRT,SettledInstallment,1845407347828563,BRL,,294.00,1,BRL,,285.92,8.08,,,,,,,visastandardcredit,22,,,,,,,,Capture Request  bookingId 112145
TurbiBR,TurbiBRCOM,4745407324448208,Authorise Request bookingId 112270,visa,2018-10-28 10:14:52,BRT,SettledInstallment,4345407324452006,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visapremiumcredit,22,,,,,,,,Capture Request  bookingId 112270
TurbiBR,TurbiBRCOM,1515407659833424,Authorise Request bookingId 112241,visa,2018-10-28 19:33:44,BRT,SettledInstallment,1615407659833472,BRL,,101.10,1,BRL,,98.32,2.78,,,,,,,visapremiumcredit,22,,,,,,,,Capture Request  bookingId 112241
TurbiBR,TurbiBRCOM,1325430643860725,114331 | 8499249 | 125854 | 39 | FSQ3098,visa,2018-11-24 12:32:18,BRST,RefundedInstallment,1525430698818659,BRL,30.00,,1,BRL,30.00,,,,,,,,,visapremiumcredit,22,,,,,,,,Refund Request bookingId 114331
TurbiBR,TurbiBRCOM,,"Payout Date=2018-11-28, Bank=341, Branch=8886, Account=253338",,2018-11-27 04:52:46,BRST,MerchantPayout,"TX23406567574XT batch 22, TurbiBRCOM batch 22, TurbiBRCOM",,,,,BRL,297.13,,,,,,,,,,22,,,,,,,,
