Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1815415369801646,Authorise Request bookingId 112993,mc,2018-11-06 18:43:49,BRST,SettledInstallment,1515415369817124,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112993
TurbiBR,TurbiBRCOM,1815410752817333,Authorise Request bookingId 112514,mc,2018-11-06 13:11:38,BRST,RefundedInstallment,4615415170406136,BRL,33.84,,1,BRL,33.84,,,,,,,,,mccredit,32,,,,,,,,Refund Request bookingId 112514
TurbiBR,TurbiBRCOM,4715414625817863,Authorise Request bookingId 112946,mc,2018-11-05 22:03:58,BRST,SettledInstallment,4715414625818028,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112946
TurbiBR,TurbiBRCOM,4515415198825698,Authorise Request bookingId 112967,mc,2018-11-06 13:58:52,BRST,SettledInstallment,4715415198829680,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112967
TurbiBR,TurbiBRCOM,4715414625817863,Authorise Request bookingId 112946,mc,2018-11-05 22:07:29,BRST,RefundedInstallment,4815414628048309,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,32,,,,,,,,Refund Request bookingId 112946
TurbiBR,TurbiBRCOM,1535415084817702,Authorise Request bookingId 112958,mc,2018-11-06 11:01:35,BRST,RefundedInstallment,4635415092467378,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,32,,,,,,,,Refund Request bookingId 112958
TurbiBR,TurbiBRCOM,4635415336818543,Authorise Request bookingId 112989,mc,2018-11-06 18:06:40,BRST,RefundedInstallment,4635415347378412,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,32,,,,,,,,Refund Request bookingId 112989
TurbiBR,TurbiBRCOM,4335415354818782,Authorise Request bookingId 112991,mc,2018-11-06 18:22:05,BRST,SettledInstallment,4635415354823359,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112991
TurbiBR,TurbiBRCOM,1535415327813658,Authorise Request bookingId 112984,mc,2018-11-06 17:35:05,BRST,SettledInstallment,1335415327826702,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112984
TurbiBR,TurbiBRCOM,1325414604812248,Authorise Request bookingId 112897,mc,2018-11-05 21:28:50,BRST,SettledInstallment,1825414604812557,BRL,,80.49,1,BRL,,78.28,2.21,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112897
TurbiBR,TurbiBRCOM,4625415331056190,Authorise Request bookingId 112985,mc,2018-11-06 18:06:40,BRST,RefundedInstallment,4625415347455733,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,32,,,,,,,,Refund Request bookingId 112985
TurbiBR,TurbiBRCOM,4325414703819452,Authorise Request bookingId 112936,mc,2018-11-06 00:13:53,BRST,SettledInstallment,4625414703828146,BRL,,44.27,1,BRL,,43.05,1.22,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112936
TurbiBR,TurbiBRCOM,4635415336818543,Authorise Request bookingId 112989,mc,2018-11-06 17:49:25,BRST,SettledInstallment,4735415336826321,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112989
TurbiBR,TurbiBRCOM,1535415084817702,Authorise Request bookingId 112958,mc,2018-11-06 10:48:49,BRST,SettledInstallment,1535415084810004,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,32,,,,,,,,Capture Request  bookingId 112958
TurbiBR,TurbiBRCOM,1535415327813658,Authorise Request bookingId 112984,mc,2018-11-06 18:06:57,BRST,RefundedInstallment,4835415347531851,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,32,,,,,,,,Refund Request bookingId 112984
