Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2019-02-08 01:07:15,BRST,Balancetransfer,Balancetransfer,,,,,BRL,274.72,,,,,,,,,,111,,,,,,,,Balancetransfer from batch 108
TurbiBR,TurbiBRCOM,1515473111189334,118264 | 8530383 | 129689 | 33 | FYM1511,amex,2019-01-12 19:23:52,BRST,SettledInstallment,1515473281813101,BRL,,56.90,1,BRL,,0.00,1.56,,,,55.34,0000027488,14819011202700740101,amex,111,,,,,,,,Capture Request bookingId 118264
TurbiBR,TurbiBRCOM,4715472374041358,118090 | 8507366 | 129554 | 39 | FSQ3098,amex,2019-01-11 21:23:48,BRST,SettledInstallment,4815472489809201,BRL,,20.00,1,BRL,,0.00,0.55,,,,19.45,0000027488,14819011202700740101,amex,111,,,,,,,,Capture Request bookingId 118090
TurbiBR,TurbiBRCOM,4315472998217644,118205 | 8500932 | 129659 | 14 | GDW3904,amex,2019-01-12 17:03:53,BRST,SettledInstallment,4615473197819294,BRL,,52.70,1,BRL,,0.00,1.45,,,,51.25,0000027488,14819011202700740101,amex,111,,,,,,,,Capture Request bookingId 118205
TurbiBR,TurbiBRCOM,1815473031091260,118235 | 8195 | 129668 | 95 | EXN2194,amex,2019-01-12 14:24:25,BRST,SettledInstallment,4615473101819554,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000027488,14819011202700740101,amex,111,,,,,,,,Capture Request bookingId 118235
TurbiBR,TurbiBRCOM,1615472401180507,118103 | 8498953 | 129567 | 1 | GDC4895,amex,2019-01-12 01:53:41,BRST,SettledInstallment,4615472651808694,BRL,,139.23,1,BRL,,0.00,3.83,,,,135.40,0000027488,14819011202700740101,amex,111,,,,,,,,Capture Request bookingId 118103
TurbiBR,TurbiBRCOM,4615473763962478,118350 | 8530182 | 129761 | 33 | FYM1511,amex,2019-01-13 15:23:50,BRST,SettledInstallment,1815474001813766,BRL,,47.07,1,BRL,,0.00,1.29,,,,45.78,0000027488,14819011302900740101,amex,111,,,,,,,,Capture Request bookingId 118350
TurbiBR,TurbiBRCOM,1715474604196958,118431 | 8523435 | 129840 | 66 | GHH6346,amex,2019-01-14 14:33:51,BRST,SettledInstallment,1515474835800396,BRL,,82.81,1,BRL,,0.00,2.28,,,,80.53,0000028828,14819011402800740101,amex,111,,,,,,,,Capture Request bookingId 118431
TurbiBR,TurbiBRCOM,1815475048405474,118470 | 8503631 | 129879 | 72 | FWG4577,amex,2019-01-14 22:58:53,BRST,SettledInstallment,4615475138814904,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000029156,14819011502700740101,amex,111,,,,,,,,Capture Request bookingId 118470
TurbiBR,TurbiBRCOM,1315475000673767,118466 | 8500932 | 129875 | 17 | GGF3956,amex,2019-01-14 22:38:55,BRST,SettledInstallment,4715475126813958,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000029156,14819011502700740101,amex,111,,,,,,,,Capture Request bookingId 118466
TurbiBR,TurbiBRCOM,1515475611614190,118496 | 8496857 | 129905 | 29 | GKH1148,amex,2019-01-15 14:29:51,BRST,SettledInstallment,4315475696818191,BRL,,20.00,1,BRL,,0.00,0.55,,,,19.45,0000029156,14819011502700740101,amex,111,,,,,,,,Capture Request bookingId 118496
TurbiBR,TurbiBRCOM,,,,2019-02-12 01:26:46,BRST,Balancetransfer,Balancetransfer,,,,,BRL,,274.72,,,,,,,,,111,,,,,,,,Balancetransfer to batch 116
