Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4825399570013013,Authorise Request bookingId 111596,visa,2018-10-19 10:50:54,BRT,SettledInstallment,4825399570016156,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visapremiumcredit,17,,,,,,,,Capture Request  bookingId 111596
TurbiBR,TurbiBRCOM,4825399048022349,Authorise Request bookingId 111555,visa,2018-10-18 20:20:44,BRT,SettledInstallment,4725399048048402,BRL,,105.15,1,BRL,,102.26,2.89,,,,,,,visastandardcredit,17,,,,,,,,Capture Request  bookingId 111555
TurbiBR,TurbiBRCOM,4615400800647663,Authorise Request bookingId 111762,visa,2018-10-20 21:01:56,BRT,SettledInstallment,4615400800642953,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visapremiumcredit,17,,,,,,,,Capture Request  bookingId 111762
TurbiBR,TurbiBRCOM,4735400875616002,Authorise Request bookingId 111768,visa,2018-10-20 23:06:43,BRT,SettledInstallment,4735400875614858,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visapremiumcredit,17,,,,,,,,Capture Request  bookingId 111768
TurbiBR,TurbiBRCOM,4645400524619943,Authorise Request bookingId 111680,visa,2018-10-20 13:22:00,BRT,SettledInstallment,4645400524623739,BRL,,30.11,1,BRL,,29.28,0.83,,,,,,,visapremiumcredit,17,,,,,,,,Capture Request  bookingId 111680
TurbiBR,TurbiBRCOM,4545424878003802,Authorise Request bookingId 113947,visa,2018-11-17 18:51:57,BRST,RefundedInstallment,4845424878635410,BRL,30.00,,1,BRL,30.00,,,,,,,,,visapremiumcredit,17,,,,,,,,Refund Request bookingId 113947
TurbiBR,TurbiBRCOM,1835402276616354,Authorise Request bookingId 111856,visa,2018-10-22 14:02:04,BRT,SettledInstallment,1535402276620292,BRL,,53.18,1,BRL,,51.72,1.46,,,,,,,visastandardcredit,17,,,,,,,,Capture Request  bookingId 111856
TurbiBR,TurbiBRCOM,4825401730619935,Authorise Request bookingId 111837,visa,2018-10-21 22:51:46,BRT,SettledInstallment,4625401730610134,BRL,,45.29,1,BRL,,44.04,1.25,,,,,,,visapremiumcredit,17,,,,,,,,Capture Request  bookingId 111837
TurbiBR,TurbiBRCOM,,"Payout Date=2018-11-21, Bank=341, Branch=8886, Account=253338",,2018-11-20 01:00:27,BRST,MerchantPayout,"TX23281462421XT batch 17, TurbiBRCOM batch 17, TurbiBRCOM",,,,,BRL,284.84,,,,,,,,,,17,,,,,,,,
