Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1515488019984982,119768 | 8531724 | 131114 | 22 | FWL2173,mc,2019-01-29 23:31:58,BRST,SettledInstallment,4615488118613055,BRL,,39.59,1,BRL,,38.50,1.09,,,,,,,mcpremiumcredit,102,,,,,,,,Capture Request bookingId 119768
TurbiBR,TurbiBRCOM,1815464251210730,117256 | 8524059 | 128777 | 4 | GIE2734,mc,2019-01-04 13:22:52,BRST,SettledInstallment,1515466153216601,BRL,,791.07,1,BRL,,0.00,21.75,,,,769.32,0000026321,10619010402803829101,mccredit,102,,,,,,,,Capture Request bookingId 117256
TurbiBR,TurbiBRCOM,4315465644041392,117350 | 8520499 | 128871 | 10 | FQR9974,mc,2019-01-04 15:09:12,BRST,RefundedInstallment,1815466216895240,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,102,,,,,,,,Refund Request bookingId 117350
TurbiBR,TurbiBRCOM,4515466394528305,114212 | 8523551 | 125734 | 73 | FYM4531,mc,2019-01-04 20:05:05,BRST,SettledInstallment,4815466394525589,BRL,,1322.50,1,BRL,,0.00,36.37,,,,1286.13,0000026321,10619010402803829101,mccredit,102,,,,,,,,Capture Request bookingId 114212
TurbiBR,TurbiBRCOM,1815466062082778,117369 | 8499619 | 128890 | 42 | GCE5762,mc,2019-01-04 15:23:17,BRST,SettledInstallment,4615466225375511,BRL,,29.90,1,BRL,,0.00,0.82,,,,29.08,0000026321,10619010402803829101,mccredit,102,,,,,,,,Capture Request bookingId 117369
TurbiBR,TurbiBRCOM,1615466030666795,117364 | 8496889 | 128885 | 78 | EON0079,mc,2019-01-04 20:38:03,BRST,SettledInstallment,4515466414201370,BRL,,139.50,1,BRL,,0.00,3.84,,,,135.66,0000026321,10619010402803829101,mccredit,102,,,,,,,,Capture Request bookingId 117364
TurbiBR,TurbiBRCOM,4515465920960354,117355 | 8505473 | 128876 | 7 | GCW5563,mc,2019-01-04 10:32:51,BRST,SettledInstallment,4615466051216771,BRL,,93.38,1,BRL,,0.00,2.57,,,,90.81,0000026321,10619010402803829101,mccredit,102,,,,,,,,Capture Request bookingId 117355
TurbiBR,TurbiBRCOM,1615466307381136,117400 | 8501103 | 128921 | 10 | FQR9974,mc,2019-01-04 19:42:55,BRST,SettledInstallment,1715466381214962,BRL,,20.00,1,BRL,,0.00,0.55,,,,19.45,0000026321,10619010402803829101,mccredit,102,,,,,,,,Capture Request bookingId 117400
TurbiBR,TurbiBRCOM,4845465434569239,117330 | 8524178 | 128851 | 22 | FWL2173,mc,2019-01-03 22:12:49,BRST,SettledInstallment,4745465607209176,BRL,,166.17,1,BRL,,161.60,4.57,,,,,,,mccredit,102,,,,,,,,Capture Request bookingId 117330
TurbiBR,TurbiBRCOM,4345466152851424,114641 | 8506517 | 126161 | 38 | GDT7856,mc,2019-01-04 13:22:20,BRST,SettledInstallment,4745466152878357,BRL,,149.68,1,BRL,,145.56,4.12,,,,,,,mccredit,102,,,,,,,,Capture Request bookingId 114641
TurbiBR,TurbiBRCOM,4745466063949867,117370 | 8507138 | 128891 | 65 | GCU7445,mc,2019-01-04 14:47:52,BRST,SettledInstallment,4545466204215782,BRL,,35.08,1,BRL,,34.12,0.96,,,,,,,mccredit,102,,,,,,,,Capture Request bookingId 117370
TurbiBR,TurbiBRCOM,4345466143644011,117380 | 8499646 | 128901 | 10 | FQR9974,mc,2019-01-04 15:47:56,BRST,SettledInstallment,4545466240217115,BRL,,20.00,1,BRL,,19.45,0.55,,,,,,,mccredit,102,,,,,,,,Capture Request bookingId 117380
TurbiBR,TurbiBRCOM,1545459528864183,116882 | 8501861 | 128403 | 67 | FVV7524,mc,2019-01-04 11:24:58,BRST,RefundedInstallment,4645466082431740,BRL,116.03,,1,BRL,116.03,,,,,,,,,mccredit,102,,,,,,,,Refund Request bookingId 116882
TurbiBR,TurbiBRCOM,4845466084667257,117374 | 8528694 | 128895 | 47 | GET4023,mc,2019-01-04 14:32:56,BRST,SettledInstallment,1645466195223485,BRL,,35.15,1,BRL,,34.18,0.97,,,,,,,mccredit,102,,,,,,,,Capture Request bookingId 117374
