Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4745393072019260,Authorise Request bookingId 111207,visa,2018-10-11 22:20:53,BRT,SettledInstallment,4345393072021575,BRL,,35.29,1,BRL,,34.32,0.97,,,,,,,visastandardcredit,12,,,,,,,,Capture Request  bookingId 111207
TurbiBR,TurbiBRCOM,1645394575000820,Authorise Request bookingId 111296,visa,2018-10-13 16:05:58,BRT,SettledInstallment,1545394575028608,BRL,,71.49,1,BRL,,69.52,1.97,,,,,,,visastandardcredit,12,,,,,,,,Capture Request  bookingId 111296
TurbiBR,TurbiBRCOM,4615394899029075,Authorise Request bookingId 111348,visa,2018-10-14 01:05:46,BRT,SettledInstallment,4515394899030579,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visastandardcredit,12,,,,,,,,Capture Request  bookingId 111348
TurbiBR,TurbiBRCOM,4515395559030833,Authorise Request bookingId 111369,visa,2018-10-14 19:25:48,BRT,SettledInstallment,4815395559049095,BRL,,142.93,1,BRL,,139.00,3.93,,,,,,,visapremiumcredit,12,,,,,,,,Capture Request  bookingId 111369
TurbiBR,TurbiBRCOM,,"Payout Date=2018-11-14, Bank=341, Branch=8886, Account=253338",,2018-11-13 04:18:00,BRST,MerchantPayout,"TX23180295815XT batch 12, TurbiBRCOM batch 12, TurbiBRCOM",,,,,BRL,272.02,,,,,,,,,,12,,,,,,,,
