Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2018-11-13 04:18:00,BRST,Balancetransfer,Balancetransfer,,,,,BRL,1482.27,,,,,,,,,,13,,,,,,,,Balancetransfer from batch 11
TurbiBR,TurbiBRCOM,1425396591023070,Authorise Request bookingId 111421,mc,2018-10-16 00:05:49,BRT,SettledInstallment,1725396591039289,BRL,,53.50,1,BRL,,52.03,1.47,,,,,,,mccredit,13,,,,,,,,Capture Request  bookingId 111421
TurbiBR,TurbiBRCOM,1735397026013137,Authorise Request bookingId 111427,mc,2018-10-16 12:10:53,BRT,SettledInstallment,1835397026028951,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,13,,,,,,,,Capture Request  bookingId 111427
TurbiBR,TurbiBRCOM,1725398118028746,Authorise Request bookingId 111499,mc,2018-10-17 18:30:53,BRT,SettledInstallment,1325398118030217,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,13,,,,,,,,Capture Request  bookingId 111499
TurbiBR,TurbiBRCOM,1725398118028746,Authorise Request bookingId 111499,mc,2018-10-17 18:37:39,BRT,RefundedInstallment,1325398122076404,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,13,,,,,,,,Refund Request bookingId 111499
TurbiBR,TurbiBRCOM,4845397971018678,Authorise Request bookingId 111484,mc,2018-10-17 14:25:57,BRT,SettledInstallment,4845397971010477,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,13,,,,,,,,Capture Request  bookingId 111484
TurbiBR,TurbiBRCOM,4635398103022384,Authorise Request bookingId 111493,mc,2018-10-17 18:09:25,BRT,RefundedInstallment,4335398105160805,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,13,,,,,,,,Refund Request bookingId 111493
TurbiBR,TurbiBRCOM,4535398100014690,Authorise Request bookingId 111492,mc,2018-10-17 18:00:49,BRT,SettledInstallment,4735398100020059,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,13,,,,,,,,Capture Request  bookingId 111492
TurbiBR,TurbiBRCOM,4635398103022384,Authorise Request bookingId 111493,mc,2018-10-17 18:05:52,BRT,SettledInstallment,4635398103037309,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,mccredit,13,,,,,,,,Capture Request  bookingId 111493
TurbiBR,TurbiBRCOM,,,,2018-11-16 05:19:49,BRST,Balancetransfer,Balancetransfer,,,,,BRL,,1344.34,,,,,,,,,13,,,,,,,,Balancetransfer to batch 16
