Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4315424053012048,Authorise Request bookingId 113749,visa,2018-11-16 19:56:05,BRST,SettledInstallment,4615424053021137,BRL,,144.70,1,BRL,,0.00,3.98,,,,140.72,0000022052,10518111602802313401,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113749
TurbiBR,TurbiBRCOM,4515423930017004,Authorise Request bookingId 113841,visa,2018-11-16 16:31:05,BRST,SettledInstallment,4515423930027367,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000022052,10518111602802313401,visapremiumcredit,45,,,,,,,,Capture Request  bookingId 113841
TurbiBR,TurbiBRCOM,4315424032000346,Authorise Request bookingId 113836,visa,2018-11-16 19:20:49,BRST,SettledInstallment,4815424032016560,BRL,,43.02,1,BRL,,0.00,1.18,,,,41.84,0000022052,10518111602802313401,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113836
TurbiBR,TurbiBRCOM,1335423405007443,Authorise Request bookingId 113722,visa,2018-11-16 01:55:41,BRST,SettledInstallment,1535423405010759,BRL,,91.27,1,BRL,,0.00,2.51,,,,,0000022052,30518111602802313101,visapremiumcredit,45,,,,,,,,Capture Request  bookingId 113722
TurbiBR,TurbiBRCOM,4615424881002564,Authorise Request bookingId 113932,visa,2018-11-17 18:55:47,BRST,SettledInstallment,4715424881012836,BRL,,132.42,1,BRL,,0.00,3.64,,,,128.78,0000022052,10518111703002313401,visapremiumcredit,45,,,,,,,,Capture Request  bookingId 113932
TurbiBR,TurbiBRCOM,1525424503149855,Authorise Request bookingId 113888,visa,2018-11-17 08:26:09,BRST,SettledInstallment,1725424503147105,BRL,,30.00,1,BRL,,0.00,0.82,,,,,0000022052,20518111703002313201,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113888
TurbiBR,TurbiBRCOM,1825424788021925,Authorise Request bookingId 113851,visa,2018-11-17 16:20:54,BRST,SettledInstallment,1325424788030780,BRL,,130.49,1,BRL,,0.00,3.59,,,,,0000022052,20518111703002313401,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113851
TurbiBR,TurbiBRCOM,4325424878007916,Authorise Request bookingId 113733,visa,2018-11-17 18:51:01,BRST,SettledInstallment,4525424878018820,BRL,,192.53,1,BRL,,0.00,5.29,,,,,0000022052,20518111703002313401,visapremiumcredit,45,,,,,,,,Capture Request  bookingId 113733
TurbiBR,TurbiBRCOM,4535424767004350,Authorise Request bookingId 113730,visa,2018-11-17 15:45:56,BRST,SettledInstallment,4335424767029565,BRL,,179.10,1,BRL,,0.00,4.93,,,,,0000022052,30518111703002313401,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113730
TurbiBR,TurbiBRCOM,4545424878003802,Authorise Request bookingId 113947,visa,2018-11-17 18:50:44,BRST,SettledInstallment,4645424878014139,BRL,,30.00,1,BRL,,0.00,0.82,,,,,0000022052,40518111703002313401,visapremiumcredit,45,,,,,,,,Capture Request  bookingId 113947
TurbiBR,TurbiBRCOM,1345425787010349,Authorise Request bookingId 113973,visa,2018-11-18 20:06:02,BRST,SettledInstallment,1745425787025806,BRL,,400.40,1,BRL,,0.00,11.01,,,,,0000022052,40518111802902313401,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113973
TurbiBR,TurbiBRCOM,1345425400015949,Authorise Request bookingId 113953,visa,2018-11-18 09:20:46,BRST,SettledInstallment,1845425400025745,BRL,,96.70,1,BRL,,0.00,2.66,,,,,0000022052,40518111802902313301,visastandardcredit,45,,,,,,,,Capture Request  bookingId 113953
