Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2018-10-26 00:36:05,BRT,Balancetransfer,Balancetransfer,,,,,BRL,296.40,,,,,,,,,,4,,,,,,,,Balancetransfer from batch 3
TurbiBR,TurbiBRCOM,4525381660029383,Authorise Request bookingId 110436,mc,2018-09-28 17:20:56,BRT,SettledInstallment,4625381660034986,BRL,,67.11,1,BRL,,65.26,1.85,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110436
TurbiBR,TurbiBRCOM,1825381564001028,Authorise Request bookingId 110442,mc,2018-09-28 14:40:51,BRT,SettledInstallment,1525381564012226,BRL,,86.48,1,BRL,,84.10,2.38,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110442
TurbiBR,TurbiBRCOM,1435382574957532,Authorise Request bookingId 110581,mc,2018-09-29 18:45:43,BRT,SettledInstallment,1435382574967770,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110581
TurbiBR,TurbiBRCOM,4825382467011209,Authorise Request bookingId 110504,mc,2018-09-29 15:45:56,BRT,SettledInstallment,4525382467023884,BRL,,101.71,1,BRL,,98.91,2.80,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110504
TurbiBR,TurbiBRCOM,4515383382004266,Authorise Request bookingId 110636,mc,2018-09-30 17:10:47,BRT,SettledInstallment,4615383382017044,BRL,,37.42,1,BRL,,36.39,1.03,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110636
TurbiBR,TurbiBRCOM,1815383379069002,Authorise Request bookingId 110467,mc,2018-09-30 17:05:57,BRT,SettledInstallment,1815383379071271,BRL,,382.09,1,BRL,,371.58,10.51,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110467
TurbiBR,TurbiBRCOM,1545383223018590,Authorise Request bookingId 110592,mc,2018-09-30 12:45:45,BRT,SettledInstallment,1445383223025109,BRL,,152.10,1,BRL,,147.92,4.18,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110592
TurbiBR,TurbiBRCOM,1615384303014199,Authorise Request bookingId 110685,mc,2018-10-01 18:45:55,BRT,SettledInstallment,1715384303022431,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,4,,,,,,,,Capture Request  bookingId 110685
TurbiBR,TurbiBRCOM,,,,2018-10-30 07:01:00,BRT,DepositCorrection,Deposit Correction,,,,,BRL,605.00,,,,,,,,,,4,,,,,,,,
