Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1315459972380601,116902 | 8500638 | 128423 | 37 | GHQ9495,amex,2018-12-29 02:17:46,BRST,SettledInstallment,1815460570200279,BRL,,155.25,1,BRL,,150.98,4.27,,,,,,,amex,69,,,,,,,,Capture Request bookingId 116902
TurbiBR,TurbiBRCOM,,,,2019-01-04 02:40:21,BRST,Balancetransfer,Balancetransfer,,,,,BRL,464.90,,,,,,,,,,69,,,,,,,,Balancetransfer from batch 67
TurbiBR,TurbiBRCOM,1715442238647688,115227 | 8498953 | 126749 | 63 | FMZ7695,amex,2018-12-07 23:12:52,BRST,SettledInstallment,1715442315229988,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115227
TurbiBR,TurbiBRCOM,4715442956085495,115318 | 8506381 | 126840 | 34 | GAK2624,amex,2018-12-08 17:42:54,BRST,SettledInstallment,1515442981214407,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115318
TurbiBR,TurbiBRCOM,1515442627415368,115248 | 8526346 | 126770 | 5 | FSN3833,amex,2018-12-08 13:07:52,BRST,SettledInstallment,4715442816210770,BRL,,89.15,1,BRL,,86.70,2.45,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115248
TurbiBR,TurbiBRCOM,4515444817323752,115493 | 8498953 | 127014 | 63 | FMZ7695,amex,2018-12-10 22:02:54,BRST,SettledInstallment,1615444865211557,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115493
TurbiBR,TurbiBRCOM,4815442780538577,115286 | 8503631 | 126808 | 72 | FWG4577,amex,2018-12-11 17:31:05,BRST,RefundedInstallment,4515445566127765,BRL,40.00,,1,BRL,40.00,,,,,,,,,amex,69,,,,,,,,115286 | 8503631 | 126808 | 72 | FWG4577
TurbiBR,TurbiBRCOM,4815442780538577,115286 | 8503631 | 126808 | 72 | FWG4577,amex,2018-12-08 21:37:47,BRST,SettledInstallment,1815443122201656,BRL,,89.35,1,BRL,,0.00,2.46,,,,86.89,0000022822,14818120902900740101,amex,69,,,,,,,,Capture Request bookingId 115286
TurbiBR,TurbiBRCOM,1315442871162551,115304 | 8501483 | 126826 | 44 | FOM1229,amex,2018-12-08 23:17:59,BRST,SettledInstallment,1615443182202703,BRL,,96.31,1,BRL,,0.00,2.65,,,,93.66,0000022822,14818120902900740101,amex,69,,,,,,,,Capture Request bookingId 115304
TurbiBR,TurbiBRCOM,1515443627358889,115385 | 8508234 | 126906 | 33 | FYM1511,amex,2018-12-09 22:37:51,BRST,SettledInstallment,4315444022201233,BRL,,12.47,1,BRL,,12.13,0.34,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115385
TurbiBR,TurbiBRCOM,4715442956085495,115318 | 8506381 | 126840 | 34 | GAK2624,amex,2018-12-10 13:00:09,BRST,RefundedInstallment,4315444539569163,BRL,30.00,,1,BRL,30.00,,,,,,,,,amex,69,,,,,,,,Refund Request bookingId 115318
TurbiBR,TurbiBRCOM,1815444437643863,115452 | 8501007 | 126973 | 25 | GJA7687,amex,2018-12-10 18:17:55,BRST,SettledInstallment,4315444730205054,BRL,,194.12,1,BRL,,188.78,5.34,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115452
TurbiBR,TurbiBRCOM,1315444395539660,115449 | 8496857 | 126970 | 19 | FJG9824,amex,2018-12-10 20:42:53,BRST,SettledInstallment,4715444817211401,BRL,,102.00,1,BRL,,99.20,2.80,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115449
TurbiBR,TurbiBRCOM,4715443879165018,115435 | 8500932 | 126956 | 17 | GGF3956,amex,2018-12-10 01:02:53,BRST,SettledInstallment,4515444109210782,BRL,,53.17,1,BRL,,51.71,1.46,,,,,,,amex,69,,,,,,,,Capture Request bookingId 115435
TurbiBR,TurbiBRCOM,,"Payout Date=2019-01-09, Bank=341, Branch=8886, Account=253338",,2019-01-08 01:56:36,BRST,MerchantPayout,"TX24070047284XT batch 69, TurbiBRCOM batch 69, TurbiBRCOM",,,,,BRL,142.14,,,,,,,,,,69,,,,,,,,
