Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4715470299644157,117801 | 8496857 | 129305 | 20 | FUD3683,amex,2019-01-09 19:53:55,BRST,SettledInstallment,4315470704216389,BRL,,103.20,1,BRL,,0.00,2.84,,,,100.36,0000027488,14819010902700740101,amex,108,,,,,,,,Capture Request bookingId 117801
TurbiBR,TurbiBRCOM,1315460854058703,117007 | 8509344 | 128528 | 49 | GDG8981,amex,2019-01-09 19:41:39,BRST,RefundedInstallment,4315470699943799,BRL,112.03,,1,BRL,112.03,,,,,,,,,amex,108,,,,,,,,Refund Request bookingId 117007
TurbiBR,TurbiBRCOM,1715470490036068,117821 | 8502044 | 129325 | 42 | GCE5762,amex,2019-01-09 17:53:22,BRST,SettledInstallment,1815470635205874,BRL,,40.97,1,BRL,,0.00,1.13,,,,39.84,0000027488,14819010902700740101,amex,108,,,,,,,,Capture Request bookingId 117821
TurbiBR,TurbiBRCOM,4715470496913728,117826 | 8499682 | 129330 | 16 | FVN6927,amex,2019-01-09 17:53:22,BRST,SettledInstallment,1515470635216353,BRL,,48.06,1,BRL,,0.00,1.32,,,,46.74,0000027488,14819010902700740101,amex,108,,,,,,,,Capture Request bookingId 117826
TurbiBR,TurbiBRCOM,1515460307766611,116958 | 8508234 | 128479 | 66 | GHH6346,amex,2019-01-09 17:06:31,BRST,RefundedInstallment,4815470607109975,BRL,162.69,,1,BRL,162.69,,,,,,,,,amex,108,,,,,,,,Refund Request bookingId 116958
TurbiBR,TurbiBRCOM,1815471334363022,117943 | 8529676 | 129418 | 56 | GCB5654,amex,2019-01-10 17:08:43,BRST,SettledInstallment,1615471472802346,BRL,,43.43,1,BRL,,0.00,1.19,,,,42.24,0000027488,14819011002700740101,amex,108,,,,,,,,Capture Request bookingId 117943
TurbiBR,TurbiBRCOM,4315471381858527,114354 | 8508519 | 125877 | 72 | FWG4577,amex,2019-01-10 14:37:21,BRST,SettledInstallment,4615471381863656,BRL,,149.68,1,BRL,,0.00,4.12,,,,145.56,0000027488,14819011002700740101,amex,108,,,,,,,,Capture Request bookingId 114354
TurbiBR,TurbiBRCOM,1715472041674470,118020 | 8496857 | 129490 | 75 | CDR2998,amex,2019-01-11 16:33:54,BRST,SettledInstallment,4515472315812752,BRL,,72.98,1,BRL,,0.00,2.01,,,,70.97,0000027488,14819011102700740101,amex,108,,,,,,,,Capture Request bookingId 118020
TurbiBR,TurbiBRCOM,4715471976137341,118012 | 8529676 | 129482 | 56 | GCB5654,amex,2019-01-11 10:53:54,BRST,SettledInstallment,4515472111814937,BRL,,44.68,1,BRL,,0.00,1.23,,,,43.45,0000027488,14819011102700740101,amex,108,,,,,,,,Capture Request bookingId 118012
TurbiBR,TurbiBRCOM,1715472030151654,118019 | 8502044 | 129489 | 42 | GCE5762,amex,2019-01-11 15:18:59,BRST,SettledInstallment,4315472270816964,BRL,,77.51,1,BRL,,0.00,2.13,,,,75.38,0000027488,14819011102700740101,amex,108,,,,,,,,Capture Request bookingId 118019
TurbiBR,TurbiBRCOM,4615471978398249,118013 | 8521181 | 129483 | 63 | FMZ7695,amex,2019-01-11 20:13:52,BRST,SettledInstallment,1715472447817020,BRL,,142.18,1,BRL,,0.00,3.91,,,,138.27,0000027488,14819011102700740101,amex,108,,,,,,,,Capture Request bookingId 118013
TurbiBR,TurbiBRCOM,,,,2019-02-08 01:07:15,BRST,Balancetransfer,Balancetransfer,,,,,BRL,,274.72,,,,,,,,,108,,,,,,,,Balancetransfer to batch 111
