Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2019-01-04 02:40:21,BRST,Balancetransfer,Balancetransfer,,,,,BRL,485.94,,,,,,,,,,71,,,,,,,,Balancetransfer from batch 65
TurbiBR,TurbiBRCOM,4515440545013822,115077 | 8498839 | 126599 | 49 | GDG8981,visa,2018-12-17 16:41:59,BRST,RefundedInstallment,1815450720626390,BRL,30.00,,1,BRL,30.00,,,,,,,,,visapremiumcredit,71,,,,,,,,Refund Request bookingId 115077
TurbiBR,TurbiBRCOM,1535440957189930,115094 | 8507015 | 126616 | 60 | GJQ7911,visa,2018-12-06 21:47:50,BRST,SettledInstallment,1335441400229499,BRL,,88.50,1,BRL,,86.07,2.43,,,,,,,visastandardcredit,71,,,,,,,,Capture Request bookingId 115094
TurbiBR,TurbiBRCOM,1735440494736548,115071 | 8496674 | 126593 | 32 | FXT6395,visa,2018-12-07 11:55:31,BRST,RefundedInstallment,1335441908737670,BRL,30.00,,1,BRL,30.00,,,,,,,,,visapremiumcredit,71,,,,,,,,Refund Request bookingId 115071
TurbiBR,TurbiBRCOM,4735441171768527,115133 | 8525602 | 126655 | 62 | GJR9212,visa,2018-12-07 01:17:53,BRST,SettledInstallment,1735441526215295,BRL,,40.18,1,BRL,,39.08,1.10,,,,,,,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115133
TurbiBR,TurbiBRCOM,4345441128729079,115122 | 8521034 | 126644 | 67 | FVV7524,visa,2018-12-06 21:17:51,BRST,SettledInstallment,4745441382224896,BRL,,33.99,1,BRL,,0.00,0.93,,,,,0000022821,40518120702802313101,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115122
TurbiBR,TurbiBRCOM,1645441915918219,115195 | 8498924 | 126717 | 40 | FJC0776,visa,2018-12-07 14:43:00,BRST,SettledInstallment,1345442009221430,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115195
TurbiBR,TurbiBRCOM,4845441027946597,115104 | 8525817 | 126626 | 7 | GCW5563,visa,2018-12-06 22:17:45,BRST,SettledInstallment,4345441418214071,BRL,,160.00,1,BRL,,0.00,4.40,,,,,0000022821,40518120702802313101,visastandardcredit,71,,,,,,,,Capture Request bookingId 115104
TurbiBR,TurbiBRCOM,4325441827548386,115183 | 8505152 | 126705 | 38 | GDT7856,visa,2018-12-07 13:32:57,BRST,SettledInstallment,1725441967200600,BRL,,34.03,1,BRL,,33.09,0.94,,,,,,,visasuperpremiumcredit,71,,,,,,,,Capture Request bookingId 115183
TurbiBR,TurbiBRCOM,4625441285543843,115154 | 8496002 | 126676 | 4 | GIE2734,visa,2018-12-06 23:42:45,BRST,SettledInstallment,1325441469204179,BRL,,81.70,1,BRL,,79.45,2.25,,,,,,,visastandardcredit,71,,,,,,,,Capture Request bookingId 115154
TurbiBR,TurbiBRCOM,4725441767901856,115176 | 8504011 | 126698 | 42 | GCE5762,visa,2018-12-07 13:47:59,BRST,SettledInstallment,1625441976215046,BRL,,61.07,1,BRL,,59.39,1.68,,,,,,,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115176
TurbiBR,TurbiBRCOM,1825441875829135,115188 | 8522643 | 126710 | 57 | FXD8307,visa,2018-12-07 20:52:53,BRST,SettledInstallment,1625442231223866,BRL,,128.66,1,BRL,,125.12,3.54,,,,,,,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115188
TurbiBR,TurbiBRCOM,4545442712122737,115268 | 8712 | 126790 | 35 | GEP0747,visa,2018-12-08 14:29:55,BRST,SettledInstallment,1545442864218347,BRL,,43.20,1,BRL,,0.00,1.19,,,,,0000022821,40518120803002313301,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115268
TurbiBR,TurbiBRCOM,1545442940421048,115316 | 8497307 | 126838 | 55 | FKS8658,visa,2018-12-08 19:57:55,BRST,SettledInstallment,1545443062204949,BRL,,33.60,1,BRL,,0.00,0.92,,,,,0000022821,40518120803002313401,visastandardcredit,71,,,,,,,,Capture Request bookingId 115316
TurbiBR,TurbiBRCOM,4715442685041850,115262 | 8499596 | 126784 | 68 | GFT7592,visa,2018-12-08 13:02:51,BRST,SettledInstallment,1515442813214930,BRL,,38.16,1,BRL,,0.00,1.05,,,,37.11,0000022821,10518120803002313301,visapremiumcredit,71,,,,,,,,Capture Request bookingId 115262
