Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2019-01-11 01:21:40,BRST,Balancetransfer,Balancetransfer,,,,,BRL,85.88,,,,,,,,,,81,,,,,,,,Balancetransfer from batch 77
TurbiBR,TurbiBRCOM,1515449950193116,115995 | 8523588 | 127515 | 56 | GCB5654,amex,2018-12-16 20:34:19,BRST,SettledInstallment,1615449995206666,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,amex,81,,,,,,,,Capture Request bookingId 115995
TurbiBR,TurbiBRCOM,1715449772639310,115980 | 8526056 | 127501 | 22 | FWL2173,amex,2018-12-16 20:34:19,BRST,SettledInstallment,1515449995206311,BRL,,223.08,1,BRL,,216.95,6.13,,,,,,,amex,81,,,,,,,,Capture Request bookingId 115980
TurbiBR,TurbiBRCOM,1315450542258773,116014 | 8195 | 127534 | 17 | GGF3956,amex,2018-12-17 13:22:57,BRST,SettledInstallment,4715450601202068,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,amex,81,,,,,,,,Capture Request bookingId 116014
TurbiBR,TurbiBRCOM,4515450440857405,116007 | 8496857 | 127527 | 20 | FUD3683,amex,2018-12-17 14:17:55,BRST,SettledInstallment,1815450634210182,BRL,,66.28,1,BRL,,64.46,1.82,,,,,,,amex,81,,,,,,,,Capture Request bookingId 116007
TurbiBR,TurbiBRCOM,1315449941336495,115994 | 8522150 | 127514 | 3 | GFF2698,amex,2018-12-16 23:27:49,BRST,SettledInstallment,4815450100215271,BRL,,75.30,1,BRL,,73.23,2.07,,,,,,,amex,81,,,,,,,,Capture Request bookingId 115994
TurbiBR,TurbiBRCOM,1515451457453621,116121 | 8496857 | 127642 | 29 | GKH1148,amex,2018-12-18 15:37:54,BRST,SettledInstallment,1515451546216476,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,amex,81,,,,,,,,Capture Request bookingId 116121
TurbiBR,TurbiBRCOM,4515434844593345,114617 | 8496857 | 126137 | 5 | FSN3833,amex,2018-12-18 13:27:29,BRST,RefundedInstallment,1715451467938486,BRL,61.07,,1,BRL,61.07,,,,,,,,,amex,81,,,,,,,,Refund Request bookingId 114617
TurbiBR,TurbiBRCOM,,,,2019-01-15 01:55:44,BRST,Balancetransfer,Balancetransfer,,,,,BRL,295.23,,,,,,,,,,81,,,,,,,,Balancetransfer to batch 85
