Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4615413781864231,Authorise Request bookingId 112484,elo,2018-11-04 22:37:16,BRST,SettledInstallment,4715413781874536,BRL,,75.00,1,BRL,,72.94,2.06,,,,,,,elocredit,31,,,,,,,,Capture Request  bookingId 112484
TurbiBR,TurbiBRCOM,4615413566823907,Authorise Request bookingId 112838,elo,2018-11-04 16:38:48,BRST,SettledInstallment,4715413566822502,BRL,,38.34,1,BRL,,37.29,1.05,,,,,,,elocredit,31,,,,,,,,Capture Request  bookingId 112838
TurbiBR,TurbiBRCOM,,"Payout Date=2018-12-05, Bank=341, Branch=8886, Account=253338",,2018-12-04 01:38:48,BRST,MerchantPayout,"TX23520883649XT batch 31, TurbiBRCOM batch 31, TurbiBRCOM",,,,,BRL,110.23,,,,,,,,,,31,,,,,,,,
