Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,,,,2018-12-25 02:07:20,BRST,Balancetransfer,Balancetransfer,,,,,BRL,83.45,,,,,,,,,,58,,,,,,,,Balancetransfer from batch 55
TurbiBR,TurbiBRCOM,1815434073680949,114570 | 8503864 | 126093 | 26 | GJJ0014,elo,2018-11-28 13:21:59,BRST,SettledInstallment,4815434184618444,BRL,,39.29,1,BRL,,0.00,1.08,,,,38.21,0000022054,15018112802801251301,elocredit,58,,,,,,,,Capture Request bookingId 114570
TurbiBR,TurbiBRCOM,4615434350547205,114589 | 8522363 | 126112 | 49 | GDG8981,elo,2018-11-29 09:11:49,BRST,SettledInstallment,1715434898618448,BRL,,124.51,1,BRL,,0.00,3.42,,,,121.09,0000022054,15018112902701251301,elo,58,,,,,,,,Capture Request bookingId 114589
TurbiBR,TurbiBRCOM,,,,2018-12-28 02:52:44,BRST,Balancetransfer,Balancetransfer,,,,,BRL,,83.45,,,,,,,,,58,,,,,,,,Balancetransfer to batch 62
