Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1545389499016523,Authorise Request bookingId 110992,mc,2018-10-07 19:05:54,BRT,SettledInstallment,1845389499020936,BRL,,96.52,1,BRL,,93.87,2.65,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 110992
TurbiBR,TurbiBRCOM,4745390229037005,Authorise Request bookingId 111045,mc,2018-10-08 15:22:33,BRT,SettledInstallment,4345390229044450,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 111045
TurbiBR,TurbiBRCOM,1745389514021043,Authorise Request bookingId 111000,mc,2018-10-07 19:30:45,BRT,SettledInstallment,1745389514021183,BRL,,93.13,1,BRL,,90.57,2.56,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 111000
TurbiBR,TurbiBRCOM,1445387852013328,Authorise Request bookingId 110867,mc,2018-10-05 21:20:52,BRT,SettledInstallment,1645387852023655,BRL,,10.00,1,BRL,,9.72,0.28,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 110867
TurbiBR,TurbiBRCOM,4625388380017746,Authorise Request bookingId 110886,mc,2018-10-06 12:00:51,BRT,SettledInstallment,4425388380022862,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 110886
TurbiBR,TurbiBRCOM,4845389406004274,Authorise Request bookingId 111016,mc,2018-10-07 16:31:09,BRT,SettledInstallment,4845389406025295,BRL,,100.00,1,BRL,,97.25,2.75,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 111016
TurbiBR,TurbiBRCOM,1515390215585771,Authorise Request bookingId 111044,mc,2018-10-08 15:00:10,BRT,SettledInstallment,1615390215596389,BRL,,50.00,1,BRL,,48.62,1.38,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 111044
TurbiBR,TurbiBRCOM,1515389574000372,Authorise Request bookingId 110826,mc,2018-10-07 21:10:52,BRT,SettledInstallment,1515389574017046,BRL,,889.14,1,BRL,,864.69,24.45,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 110826
TurbiBR,TurbiBRCOM,1825388701018336,Authorise Request bookingId 110946,mc,2018-10-06 20:55:52,BRT,SettledInstallment,1625388701029541,BRL,,34.33,1,BRL,,33.39,0.94,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 110946
TurbiBR,TurbiBRCOM,1625390316855146,Authorise Request bookingId 109019,mc,2018-10-08 17:48:57,BRT,SettledInstallment,1525390316863547,BRL,,149.68,1,BRL,,145.56,4.12,,,,,,,mccredit,7,,,,,,,,Capture Request  bookingId 109019
TurbiBR,TurbiBRCOM,,"Payout Date=2018-11-07, Bank=341, Branch=8886, Account=253338",,2018-11-06 03:37:00,BRST,MerchantPayout,"TX23080940155XT batch 7, TurbiBRCOM batch 7, TurbiBRCOM",,,,,BRL,1480.91,,,,,,,,,,7,,,,,,,,
