Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1515423774850979,Authorise Request bookingId 113785,mc,2018-11-16 13:33:06,BRST,RefundedInstallment,1715423823282685,BRL,30.00,,1,BRL,30.00,,,,,,,,,mccredit,43,,,,,,,,Refund Request bookingId 113785
TurbiBR,TurbiBRCOM,1615423255011769,Authorise Request bookingId 113728,mc,2018-11-15 21:45:42,BRST,SettledInstallment,1515423255024284,BRL,,53.41,1,BRL,,0.00,1.47,,,,51.94,0000022051,10618111602803829101,mccredit,43,,,,,,,,Capture Request  bookingId 113728
TurbiBR,TurbiBRCOM,4515423972017748,Authorise Request bookingId 113838,mc,2018-11-16 17:40:55,BRST,SettledInstallment,4315423972025602,BRL,,55.29,1,BRL,,0.00,1.52,,,,53.77,0000022051,10618111602803829401,mccredit,43,,,,,,,,Capture Request  bookingId 113838
TurbiBR,TurbiBRCOM,4815423981011978,Authorise Request bookingId 113745,mc,2018-11-16 17:55:48,BRST,SettledInstallment,4615423981025517,BRL,,85.70,1,BRL,,0.00,2.36,,,,83.34,0000022051,10618111602803829401,mccredit,43,,,,,,,,Capture Request  bookingId 113745
TurbiBR,TurbiBRCOM,1515423774850979,Authorise Request bookingId 113785,mc,2018-11-16 12:12:21,BRST,SettledInstallment,1715423774863152,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000022051,10618111602803829301,mccredit,43,,,,,,,,Capture Request  bookingId 113785
TurbiBR,TurbiBRCOM,1815423267010088,Authorise Request bookingId 113658,mc,2018-11-15 22:05:44,BRST,SettledInstallment,1315423267016965,BRL,,216.57,1,BRL,,0.00,5.96,,,,210.61,0000022051,10618111602803829101,mccredit,43,,,,,,,,Capture Request  bookingId 113658
TurbiBR,TurbiBRCOM,4615423537018487,Authorise Request bookingId 113740,mc,2018-11-16 05:35:47,BRST,SettledInstallment,4515423537026390,BRL,,162.20,1,BRL,,0.00,4.46,,,,157.74,0000022051,10618111602803829201,mccredit,43,,,,,,,,Capture Request  bookingId 113740
TurbiBR,TurbiBRCOM,4735423876007039,Authorise Request bookingId 113763,mc,2018-11-16 15:09:37,BRST,SettledInstallment,4835423876019520,BRL,,42.52,1,BRL,,0.00,1.17,,,,,0000022051,30618111602803829401,mccredit,43,,,,,,,,Capture Request  bookingId 113763
TurbiBR,TurbiBRCOM,1335423891008749,Authorise Request bookingId 113850,mc,2018-11-16 15:38:31,BRST,SettledInstallment,1735423891010790,BRL,,30.00,1,BRL,,0.00,0.82,,,,,0000022051,30618111602803829401,mccredit,43,,,,,,,,Capture Request  bookingId 113850
TurbiBR,TurbiBRCOM,1825423234012884,Authorise Request bookingId 113684,mc,2018-11-15 21:10:56,BRST,SettledInstallment,1725423234024468,BRL,,181.10,1,BRL,,0.00,4.98,,,,,0000022051,20618111602803829101,mccredit,43,,,,,,,,Capture Request  bookingId 113684
