Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,1615445478141040,115526 | 8525154 | 127047 | 67 | FVV7524,elo,2018-12-11 17:07:53,BRST,SettledInstallment,1715445552213391,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,elo,76,,,,,,,,Capture Request bookingId 115526
TurbiBR,TurbiBRCOM,1615446079352382,115569 | 8524900 | 127090 | 16 | FVN6927,elo,2018-12-12 14:57:57,BRST,SettledInstallment,1615446338212310,BRL,,143.94,1,BRL,,139.98,3.96,,,,,,,elocredit,76,,,,,,,,Capture Request bookingId 115569
TurbiBR,TurbiBRCOM,4515447268022575,115700 | 8409 | 127221 | 54 | GDP6156,elo,2018-12-13 18:47:51,BRST,SettledInstallment,1715447340213634,BRL,,30.00,1,BRL,,29.18,0.82,,,,,,,elocredit,76,,,,,,,,Capture Request bookingId 115700
TurbiBR,TurbiBRCOM,4815446895644253,115658 | 8409 | 127179 | 30 | FZV7646,elo,2018-12-13 12:42:56,BRST,SettledInstallment,4315447121214767,BRL,,55.27,1,BRL,,53.75,1.52,,,,,,,elocredit,76,,,,,,,,Capture Request bookingId 115658
TurbiBR,TurbiBRCOM,,,,2019-01-11 01:21:40,BRST,DepositCorrection,Deposit Correction,,,,,BRL,252.09,,,,,,,,,,76,,,,,,,,
